Dish Name,Image URL
"Aloo Bhaji, Poori",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Aloo%20Bhaji%20close%20up%20professional%20photography
"Bread Roll",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Bread%20Roll%20close%20up%20professional%20photography
"Chole, Bhature",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Chole%20close%20up%20professional%20photography
"Dal Dhokli",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Dal%20Dhokli%20close%20up%20professional%20photography
"Stuffed Parathas Paneer/Pyaz/Aloo/Gobhi",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Stuffed%20Parathas%20Paneer%2FPyaz%2FAloo%2FGobhi%20close%20up%20professional%20photography
"Masala Dosa, Chutney, Sambhar",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Masala%20Dosa%20close%20up%20professional%20photography
"Rajma, Jeera Onion Rice",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Rajma%20close%20up%20professional%20photography
"Jeera Aloo, Dal, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Jeera%20Aloo%20close%20up%20professional%20photography
"Aloo Gajar Beans, Dal, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Aloo%20Gajar%20Beans%20close%20up%20professional%20photography
"Aloo Gobhi, Dal, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Aloo%20Gobhi%20close%20up%20professional%20photography
"Bhindi, Roti, Dal",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Bhindi%20close%20up%20professional%20photography
"Kadhi, Rice",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Kadhi%20close%20up%20professional%20photography
"Lauki Kofta, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Lauki%20Kofta%20close%20up%20professional%20photography
"Matar mushroom, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Matar%20mushroom%20close%20up%20professional%20photography
"Arbi masala, Roti, Dal",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Arbi%20masala%20close%20up%20professional%20photography
"Bharwa bhindi, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Bharwa%20bhindi%20close%20up%20professional%20photography
"Dal, Rice",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Dal%20close%20up%20professional%20photography
"Chole, Rice",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Chole%20close%20up%20professional%20photography
"Dal makhani, rice",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Dal%20makhani%20close%20up%20professional%20photography
"Bharwa shimla mirch, roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Bharwa%20shimla%20mirch%20close%20up%20professional%20photography
"Aloo shimla, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Aloo%20shimla%20close%20up%20professional%20photography
"Gatte ki sabji, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Gatte%20ki%20sabji%20close%20up%20professional%20photography
"Malai Kofta, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Malai%20Kofta%20close%20up%20professional%20photography
"Dum Aloo, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Dum%20Aloo%20close%20up%20professional%20photography
"Dal Baati",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Dal%20Baati%20close%20up%20professional%20photography
"Methi malai matar, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Methi%20malai%20matar%20close%20up%20professional%20photography
"Egg Curry, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Egg%20Curry%20close%20up%20professional%20photography
"Paneer Butter Masala",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Paneer%20Butter%20Masala%20close%20up%20professional%20photography
"Rajma Kashmiri",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Rajma%20Kashmiri%20close%20up%20professional%20photography
"Matar Mushroom",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Matar%20Mushroom%20close%20up%20professional%20photography
"Veg/Peas/Masala/Soya Pulao",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Veg%2FPeas%2FMasala%2FSoya%20Pulao%20close%20up%20professional%20photography
"Tawa Pulao",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Tawa%20Pulao%20close%20up%20professional%20photography
"Paneer bhurji, Paratha",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Paneer%20bhurji%20close%20up%20professional%20photography
"Veg Hakka Noodles",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Veg%20Hakka%20Noodles%20close%20up%20professional%20photography
"Veg fried rice",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Veg%20fried%20rice%20close%20up%20professional%20photography
"Veg daliya",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Veg%20daliya%20close%20up%20professional%20photography
"Veg Khichadi",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Veg%20Khichadi%20close%20up%20professional%20photography
"Lauki kofta, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Lauki%20kofta%20close%20up%20professional%20photography
"Bhel Puri/Papdi chaat",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Bhel%20Puri%2FPapdi%20chaat%20close%20up%20professional%20photography
"Lemon/Tomato rice",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Lemon%2FTomato%20rice%20close%20up%20professional%20photography
"Dal, Rice",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Dal%20close%20up%20professional%20photography
"Dhokla",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Dhokla%20close%20up%20professional%20photography
"Pasta",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Pasta%20close%20up%20professional%20photography
"Tomato Soup",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Tomato%20Soup%20close%20up%20professional%20photography
"Soya Chaap",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Soya%20Chaap%20close%20up%20professional%20photography
"Aloo/Pyaz/Paneer Paratha",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Aloo%2FPyaz%2FPaneer%20Paratha%20close%20up%20professional%20photography
"Paratha with Paneer curry (Butter/Shahi/Lababdar/Kadhai/DoPyaza)",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Paratha%20with%20Paneer%20curry%20close%20up%20professional%20photography
"Veg kofta, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Veg%20kofta%20close%20up%20professional%20photography
"Chilli Paneer",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Chilli%20Paneer%20close%20up%20professional%20photography
"Veg Manchurian",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Veg%20Manchurian%20close%20up%20professional%20photography
"Idly, Chutney, Sambhar",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Idly%20close%20up%20professional%20photography
"Navratan Korma, Roti",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Navratan%20Korma%20close%20up%20professional%20photography
"Brinjal",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Brinjal%20close%20up%20professional%20photography
"Palak",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Palak%20close%20up%20professional%20photography
"Karela",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Karela%20close%20up%20professional%20photography
"Methi",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Methi%20close%20up%20professional%20photography
"Parwal",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Parwal%20close%20up%20professional%20photography
"Pumpkin",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Pumpkin%20close%20up%20professional%20photography
"Lauki",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Lauki%20close%20up%20professional%20photography
"Torai",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Torai%20close%20up%20professional%20photography
"Kamal Kakdi",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Kamal%20Kakdi%20close%20up%20professional%20photography
"Kathal",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Kathal%20close%20up%20professional%20photography
"Watermelon",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Watermelon%20close%20up%20professional%20photography
"Pear",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Pear%20close%20up%20professional%20photography
"Melon",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Melon%20close%20up%20professional%20photography
"Plum",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Plum%20close%20up%20professional%20photography
"Pomegranate",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Pomegranate%20close%20up%20professional%20photography
"Jamun",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Jamun%20close%20up%20professional%20photography
"Apples",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Apples%20close%20up%20professional%20photography
"Grapes",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Grapes%20close%20up%20professional%20photography
"Banana",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Banana%20close%20up%20professional%20photography
"Litchi",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Litchi%20close%20up%20professional%20photography
"Mangoes",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Mangoes%20close%20up%20professional%20photography
