Dish Name	Category	Type	Description	Ingredients	PrepTime	CookTime	Difficulty	Servings	Tags
Veg Manchurian	Dinner	Heavy	Delicious dinner dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Medium	4	Homestyle|Vegetarian
Idly, Chutney, Sambhar	Dinner	Heavy	Delicious dinner dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Medium	4	Homestyle|Vegetarian
Navratan Korma, Roti	Dinner	Heavy	Delicious dinner dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Medium	4	Homestyle|Vegetarian
Baigan bharta, roti	Lunch	Light	Smoky mashed eggplant curry with tomatoes and spices	Eggplant (Baingan), Onion, Tomato, Green Chili, Spices	10	30	Medium	4	North Indian|Smoky|Rustic
Palak Corn, roti	Dinner	Light	Delicious dinner dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Aloo baigan, dal, roti	Lunch	Light	Comforting lentil soup seasoned with spices	Lentils (Toor/Moong Dal), Turmeric, Cumin, Garlic, Ghee	5	25	Easy	4	Comfort Food|Protein-Rich|Healthy
Aloo Methi, dal, roti	Lunch	Light	Comforting lentil soup seasoned with spices	Lentils (Toor/Moong Dal), Turmeric, Cumin, Garlic, Ghee	5	25	Easy	4	Comfort Food|Protein-Rich|Healthy
Aloo Parwal, dal, roti	Lunch	Light	Comforting lentil soup seasoned with spices	Lentils (Toor/Moong Dal), Turmeric, Cumin, Garlic, Ghee	5	25	Easy	4	Comfort Food|Protein-Rich|Healthy
Kaddu, roti, raita	Lunch	Light	Sweet and spiced pumpkin curry	Pumpkin (Kaddu), Onion, Jaggery, Spices	10	25	Easy	4	North Indian|Sweet-Savory|Comfort Food
Lauki gravy, roti	Dinner	Light	Delicious dinner dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Torai gravy, roti	Dinner	Light	Delicious dinner dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Kathal, roti	Lunch	Heavy	Delicious lunch dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Medium	4	Homestyle|Vegetarian
Watermelon	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Pear	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Melon	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Plum	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Pomegranate	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Jamun	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Apples	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Grapes	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Banana	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Litchi	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
Mangoes	Fruit	undefined	Delicious fruit dish prepared with traditional spices	Mixed Vegetables, Onion, Tomato, Spices	15	25	Easy	4	Homestyle|Vegetarian
