Name,Category,Type,Image,Recipe,Ingredients,Critical,Prep
"Egg Curry, Roti",Lunch,Heavy,https://via.placeholder.com/400?text=Egg%20Curry,https://www.youtube.com/results?search_query=Egg%20Curry%20recipe,,,
Paneer Butter Masala,Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Paneer_butter_masala_2.jpg/500px-Paneer_butter_masala_2.jpg,https://www.youtube.com/results?search_query=Paneer%20Butter%20Masala%20recipe,,Paneer,
Rajma Kashmiri,Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Kashmiri_Pandit_vegetarian_thali_served_at_Matamaal_restaurants_with_Rajma%2C_Dum_aloo%2C_Paneer_dishes.png/500px-Kashmiri_Pandit_vegetarian_thali_served_at_Matamaal_restaurants_with_Rajma%2C_Dum_aloo%2C_Paneer_dishes.png,https://www.youtube.com/results?search_query=Rajma%20Kashmiri%20recipe,,Kidney Beans,Soak Rajma overnight (8-10 hrs)
Matar Mushroom,Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Cuisine_of_India_by_ArmAg_%285%29.jpg/500px-Cuisine_of_India_by_ArmAg_%285%29.jpg,https://www.youtube.com/results?search_query=Matar%20Mushroom%20recipe,,Mushrooms,
"Kathal, roti",Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/%28Artocarpus_heterophyllus%29_Jack_fruits_on_Simhachalam_Hills_01.jpg/500px-%28Artocarpus_heterophyllus%29_Jack_fruits_on_Simhachalam_Hills_01.jpg,https://www.youtube.com/results?search_query=Kathal%20recipe,,,
Veg Pulao,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Veg_pulao_with_raitha.jpg/500px-Veg_pulao_with_raitha.jpg,https://www.youtube.com/results?search_query=Veg%20Pulao%20recipe,,,
Peas Pulao,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Veg_pulao%2C_self-cooked%2C_Roing%2C_Arunachal_Pradesh%2C_jpg.0002.jpg/500px-Veg_pulao%2C_self-cooked%2C_Roing%2C_Arunachal_Pradesh%2C_jpg.0002.jpg,https://www.youtube.com/results?search_query=Peas%20Pulao%20recipe,,,
Masala Pulao,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/TawaPulao.jpg/500px-TawaPulao.jpg,https://www.youtube.com/results?search_query=Masala%20Pulao%20recipe,,,
Soya Pulao,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Soya_Curry_with_Matar_rice_and_Gulab_Jamun.jpg/500px-Soya_Curry_with_Matar_rice_and_Gulab_Jamun.jpg,https://www.youtube.com/results?search_query=Soya%20Pulao%20recipe,,,
Tawa Pulao,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Tawa_pulao_and_boondi_raita.JPG/500px-Tawa_pulao_and_boondi_raita.JPG,https://www.youtube.com/results?search_query=Tawa%20Pulao%20recipe,,,
"Paneer bhurji, Paratha",Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Homemade_Paneer_Bhurji.jpg/500px-Homemade_Paneer_Bhurji.jpg,https://www.youtube.com/results?search_query=Paneer%20bhurji%20recipe,,Paneer,
Veg Hakka Noodles,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Veg_Hakka_Noodles.jpg/500px-Veg_Hakka_Noodles.jpg,https://www.youtube.com/results?search_query=Veg%20Hakka%20Noodles%20recipe,,,
Veg fried rice,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Veg_fried_rice_homemade.jpg/500px-Veg_fried_rice_homemade.jpg,https://www.youtube.com/results?search_query=Veg%20fried%20rice%20recipe,,,
Veg daliya,Dinner,Light,https://via.placeholder.com/400?text=Veg%20daliya,https://www.youtube.com/results?search_query=Veg%20daliya%20recipe,,,
Veg Khichadi,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Veg_Khichadi.jpg/500px-Veg_Khichadi.jpg,https://www.youtube.com/results?search_query=Veg%20Khichadi%20recipe,,,
"Lauki kofta, Roti",Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Lauki_Kofta_Curry.JPG/500px-Lauki_Kofta_Curry.JPG,https://www.youtube.com/results?search_query=Lauki%20kofta%20recipe,,Lauki,
Bhel Puri,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Bhel_puri_Snack.jpg/500px-Bhel_puri_Snack.jpg,https://www.youtube.com/results?search_query=Bhel%20Puri%20recipe,,,
Papdi Chaat,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Papdi-chaat.jpg/500px-Papdi-chaat.jpg,https://www.youtube.com/results?search_query=Papdi%20Chaat%20recipe,,,
Lemon Rice,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Picture_of_Lemon_rice_dish.JPG/500px-Picture_of_Lemon_rice_dish.JPG,https://www.youtube.com/results?search_query=Lemon%20Rice%20recipe,,,
Tomato Rice,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Jollof_rice_and_tomato_stew.jpg/500px-Jollof_rice_and_tomato_stew.jpg,https://www.youtube.com/results?search_query=Tomato%20Rice%20recipe,,,
"Dal, Rice",Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Dal_curry_20230930.jpg/500px-Dal_curry_20230930.jpg,https://www.youtube.com/results?search_query=Dal%20recipe,,,
Dhokla,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Dhokla_3.jpg/500px-Dhokla_3.jpg,https://www.youtube.com/results?search_query=Dhokla%20recipe,,,
Pasta,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/A_plate_of_red_sauce_pasta.jpg/500px-A_plate_of_red_sauce_pasta.jpg,https://www.youtube.com/results?search_query=Pasta%20recipe,,,
Tomato Soup,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Tomato_soup%2C_Turkish_style.jpg/500px-Tomato_soup%2C_Turkish_style.jpg,https://www.youtube.com/results?search_query=Tomato%20Soup%20recipe,,,
Soya Chaap,Dinner,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Soya_Chaap_dish.jpg/500px-Soya_Chaap_dish.jpg,https://www.youtube.com/results?search_query=Soya%20Chaap%20recipe,,,
"Palak Corn, roti",Dinner,Light,https://via.placeholder.com/400?text=Palak%20Corn,https://www.youtube.com/results?search_query=Palak%20Corn%20recipe,,,
"Lauki gravy, roti",Dinner,Light,https://via.placeholder.com/400?text=Lauki%20gravy,https://www.youtube.com/results?search_query=Lauki%20gravy%20recipe,,,
"Torai gravy, roti",Dinner,Light,https://via.placeholder.com/400?text=Torai%20gravy,https://www.youtube.com/results?search_query=Torai%20gravy%20recipe,,,
Aloo Paratha,Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Aloo_Paratha_%2896238%29.jpg/500px-Aloo_Paratha_%2896238%29.jpg,https://www.youtube.com/results?search_query=Aloo%20Paratha%20recipe,,Paneer,
Pyaz Paratha,Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Tandoori_Aloo_Pyaz_Parantha.jpg/500px-Tandoori_Aloo_Pyaz_Parantha.jpg,https://www.youtube.com/results?search_query=Pyaz%20Paratha%20recipe,,Paneer,
Paneer Paratha,Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Paratha_from_Narathiwas%2C_Thailand.jpg/500px-Paratha_from_Narathiwas%2C_Thailand.jpg,https://www.youtube.com/results?search_query=Paneer%20Paratha%20recipe,,Paneer,
Paneer Butter Masala,Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Paneer_butter_masala_2.jpg/500px-Paneer_butter_masala_2.jpg,https://www.youtube.com/results?search_query=Paneer%20Butter%20Masala%20recipe,,Paneer,
Shahi Paneer,Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Shahi_Paneer_garnished_with_fresh_mint.jpg/500px-Shahi_Paneer_garnished_with_fresh_mint.jpg,https://www.youtube.com/results?search_query=Shahi%20Paneer%20recipe,,Paneer,
Kadhai Paneer,Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Kadhai_paneer_%28paneer_shimlamirch%29.jpg/500px-Kadhai_paneer_%28paneer_shimlamirch%29.jpg,https://www.youtube.com/results?search_query=Kadhai%20Paneer%20recipe,,Paneer,
Paneer Do Pyaza,Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Paneer_Do-Pyaza.jpg/500px-Paneer_Do-Pyaza.jpg,https://www.youtube.com/results?search_query=Paneer%20Do%20Pyaza%20recipe,,Paneer,
"Veg kofta, Roti",Dinner,Heavy,https://via.placeholder.com/400?text=Veg%20kofta,https://www.youtube.com/results?search_query=Veg%20kofta%20recipe,,,
Chilli Paneer,Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Paneer_Chilli_Semi_Gravy.jpg/500px-Paneer_Chilli_Semi_Gravy.jpg,https://www.youtube.com/results?search_query=Chilli%20Paneer%20recipe,,Paneer,
Veg Manchurian,Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Homemade_Veg_Manchurian_and_fried_rice.jpg/500px-Homemade_Veg_Manchurian_and_fried_rice.jpg,https://www.youtube.com/results?search_query=Veg%20Manchurian%20recipe,,,
"Idly, Chutney, Sambhar",Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Idli_Sambar.JPG/500px-Idli_Sambar.JPG,https://www.youtube.com/results?search_query=Idly%20recipe,,Rice, Urad Dal,Soak & Ferment batter (12+ hrs)
"Navratan Korma, Roti",Dinner,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Veg_Jafrani_Navratna_Korma.jpg/500px-Veg_Jafrani_Navratna_Korma.jpg,https://www.youtube.com/results?search_query=Navratan%20Korma%20recipe,,,
Watermelon,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/%D8%A7%D9%84%D8%A8%D8%B7%D9%8A%D8%AE_%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%B1.JPG/500px-%D8%A7%D9%84%D8%A8%D8%B7%D9%8A%D8%AE_%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%B1.JPG,https://www.youtube.com/results?search_query=Watermelon%20recipe,,,
Pear,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Four_pears.jpg/500px-Four_pears.jpg,https://www.youtube.com/results?search_query=Pear%20recipe,,,
Melon,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Cucumis_melo_on_white_background.jpg/500px-Cucumis_melo_on_white_background.jpg,https://www.youtube.com/results?search_query=Melon%20recipe,,,
Plum,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Plum_in_a_black_background_02.jpg/500px-Plum_in_a_black_background_02.jpg,https://www.youtube.com/results?search_query=Plum%20recipe,,,
Pomegranate,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Pomegranate_fruit_-_whole_and_piece_with_arils.jpg/500px-Pomegranate_fruit_-_whole_and_piece_with_arils.jpg,https://www.youtube.com/results?search_query=Pomegranate%20recipe,,,
Jamun,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Syzygium_cumini_07.JPG/500px-Syzygium_cumini_07.JPG,https://www.youtube.com/results?search_query=Jamun%20recipe,,,
Apples,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Red_Apple.jpg/500px-Red_Apple.jpg,https://www.youtube.com/results?search_query=Apples%20recipe,,,
Grapes,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Green_Grape_3.jpg/500px-Green_Grape_3.jpg,https://www.youtube.com/results?search_query=Grapes%20recipe,,,
Banana,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Bananas_on_black_background_02.jpg/500px-Bananas_on_black_background_02.jpg,https://www.youtube.com/results?search_query=Banana%20recipe,,,
Litchi,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Litchi_chinensis190714mx.jpg/500px-Litchi_chinensis190714mx.jpg,https://www.youtube.com/results?search_query=Litchi%20recipe,,,
Mangoes,Fruit,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mangos_-_single_and_halved.jpg/500px-Mangos_-_single_and_halved.jpg,https://www.youtube.com/results?search_query=Mangoes%20recipe,,,
